PAID;FECHA_REGISTRO;UNIDAD_NOMBRE;PROYECTO_RNPC;UNIDAD_DEPARTAMENTO;DESTINO_DEPARTAMENTO;DESTINO_CIUDAD;ATENCION_TIPO_TRAMITE;ATENCION_DESTINO;ATENCION_TEMA;ATENCION_MOTIVO;ATENCION_ESTADO;PERSONA_RANGO_EDAD;PERSONA_CONDICION_DISCAPACIDAD;PERSONA_POBLACION_ESPECIAL;PERSONA_GENERO;PERSONA_PROFESION;PERSONA_ACEPTA_HABEAS_DATA;TIPO_EMPRESA;EMPRESA_TIPO_DOCUMENTO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_RAZON_SOCIAL;ESTADO_SERVICIO;CAUSAL;TIPO_PRODUCTO;NOMBRE_PRODUCTO;VALOR_PRODUCTO;FECHA_ADQUISICION;FECHA_ULTIMO_ENCUENTRO;FECHA_FIN_ULTIMO_ENCUENTRO;FECHA_FIN_REAL;ENCUENTRO_ACORDADO;FECHA_CONTRATO;DURACION
626381;2022-02-02;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Adulto mayor;Hombre;No indica;SI;FORMAL;NIT;#¡REF!;RECTIINDUSTRIAL;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;rectificación del bloque del motor y cepillado de culata;1496000;2021-11-03 00:00;2022-03-01;2022-03-01;2022-03-01;SI;2022-03-01 13:54;27
804824;2022-08-04;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;#¡REF!;DISMERCA;ACORDADO;Incumplimiento de la garantía;Bien;MOTO;4099000;2021-12-31 00:00;2022-08-11;2022-08-12;2022-08-12;SI;2022-08-12 13:17;8
588660;2021-11-12;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;#¡REF!;WORLD GLASS;CERRADO;Incumplimiento de la garantía;Bien;vidrio templado 8mm;700000;2021-08-14 00:00;2021-12-02;2021-12-02;2021-12-02;SI;2021-12-02 14:15;20
677376;2022-03-23;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Mujer;Profesional;SI;FORMAL;NIT;#¡REF!;HOME SERVICE SPECIAL;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;reparación de nevera;1348000;2021-09-23 00:00;2022-04-06;2022-04-06;2022-04-06;SI;2022-04-06 12:33;14
524181;2021-09-14;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;ELECTROREYES;CERRADO;Incumplimiento de la garantía;Bien;congelador;1350000;2020-10-21 00:00;2021-09-22;2021-09-24;2021-09-24;SI;2021-09-24 14:45;10
319302;2020-10-30;CB RAFAEL URIBE;Casas del Consumidor Bogota;BOGOTA;BOGOTA;RAFAEL URIBE;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;60-80 años;Física;Ninguna;Mujer;Básica Primaria;SI;INFORMAL;;#¡REF!;lavaseco servi expres;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;lavado;7000;2020-10-21 00:00;2020-11-04;2020-11-04;2020-11-04;SI;2020-11-04 11:57;5
701312;2022-04-19;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;INFORMAL;;#¡REF!;DISEÑOS MONTREAL GALERIA;CERRADO;Incumplimiento de la garantía;Bien;juego de sala;2100000;2022-03-15 00:00;2022-04-28;2022-05-11;2022-05-11;SI;2022-05-11 14:28;22
665300;2022-03-10;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;No indica;SI;INFORMAL;;#¡REF!;MOTO REPUESTOS LA GRAN 20;CERRADO;Incumplimiento de la garantía;Bien;MOTO;160000;2022-02-18 00:00;2022-03-18;2022-03-18;2022-03-18;SI;2022-03-18 12:21;8
780881;2022-07-12;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;#¡REF!;2759265;ACORDADO;Incumplimiento de la garantía;Bien;Nevera ;1500000;2022-05-12 00:00;2022-07-13;2022-07-14;2022-07-14;SI;2022-07-14 15:52;2
749623;2022-06-06;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;AGUAS RUZ LESBY YADITH;ACORDADO;Incumplimiento de la garantía;Bien;televisor  Led Olimpo  smart ;INDETERMINADO;2021-12-31 00:00;2022-06-13;2022-06-13;2022-06-13;SI;2022-06-13 19:59;7
796990;2022-07-28;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;#¡REF!;HOYOS RAMIREZ JUAN PABLO;ACORDADO;Incumplimiento de la garantía;Servicio;INSTALACION DE DISPLAY ;130000;2022-07-23 00:00;2022-07-28;2022-07-28;2022-07-28;SI;2022-07-28 14:42;0
817682;2022-08-18;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Técnico;SI;INFORMAL;;#¡REF!;kche technology;ACORDADO;Incumplimiento de la garantía;Bien;Teléfono Celular ;355000;2022-07-31 00:00;2022-08-23;2022-08-23;2022-08-23;SI;2022-08-23 13:21;5
795736;2022-07-27;CR BARRANQUILLA;Casas del Consumidor Regional;ATLANTICO;ATLANTICO;BARRANQUILLA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;rafael rodriguez cortissoz;ACORDADO;Incumplimiento de la garantía;Servicio;Servicio de  Odontología  ;14400000;2022-07-14 00:00;2022-08-12;2022-08-12;2022-08-12;SI;2022-08-12 12:40;16
808947;2022-08-09;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Técnico;SI;FORMAL;NIT;#¡REF!;CALZADO GARFIELD;CERRADO;Incumplimiento de la garantía;Bien;ZANDALIAS EN CUERO;59900;2022-07-07 00:00;2022-08-12;2022-08-12;2022-08-12;SI;2022-08-12 15:34;3
751628;2022-06-08;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;PALACIO DEL CELULAR;CERRADO;Incumplimiento de la garantía;Bien;IPRO RUBY 5S;190000;2021-10-16 00:00;2022-06-14;2022-06-14;2022-06-14;SI;2022-06-14 10:12;6
752551;2022-06-08;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;ORGANIZACION WILSON SAS;CERRADO;Incumplimiento de la garantía;Bien;TV CHALLENGER UHD 5LL51 BT;2927000;2021-07-28 00:00;2022-06-22;2022-06-22;2022-06-22;SI;2022-06-22 11:11;14
742451;2022-05-27;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;TU CELL;CERRADO;Incumplimiento de la garantía;Bien;CELULAR XIAOMI REDMI 9A 32GB;420000;2021-06-26 00:00;2022-05-31;2022-05-31;2022-05-31;SI;2022-05-31 15:27;4
759779;2022-06-15;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;MAGIC GOLD;CERRADO;Incumplimiento de la garantía;Bien;CADENA TEJIDO CHINO DE 60 CM;240000;2021-07-11 00:00;2022-06-21;2022-06-22;2022-06-22;SI;2022-06-22 09:36;7
722765;2022-05-10;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;#¡REF!;DISTRIPOLTRONAS;CERRADO;Incumplimiento de la garantía;Bien;comedor de 4 puestos;1720000;2021-02-10 00:00;2022-05-13;2022-05-16;2022-05-16;SI;2022-05-16 09:26;6
735532;2022-05-23;CR TULUA;Casas del Consumidor Regional;VALLE DEL CAUCA;VALLE DEL CAUCA;TULUA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;FERRETERIA MULTIALAMBRES;CERRADO;Incumplimiento de la garantía;Bien;TUBOS CUADRADOS 6 MTS Y ANGULOS;258866;2021-07-21 00:00;2022-05-27;2022-05-27;2022-05-27;SI;2022-05-27 15:23;4
1209004;2023-11-08;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Técnico;SI;INFORMAL;;#¡REF!;CONVENIO INMOBILIARIO VENTA Y RENTA;ACORDADO;Operaciones bajo sistemas de financiación;Bien;inmuebles;5000000;2022-03-31 00:00;2023-11-16;2023-11-16;2023-11-16;SI;2023-11-16 10:29;8
1233611;2023-11-21;PUNTO DE ATENCION 4;Rutas del Consumidor;BOGOTA;CHOCO;QUIBDO;ARREGLO DIRECTO;SIC;Protección Contractual;Cláusulas de permanencia mínima;Ciudadano Atendido;41-59 años;Ninguna ;Víctima de conflicto armado;Mujer;Técnico;SI;INFORMAL;;#¡REF!;legon telecomunicaciones;ACORDADO;Incumplimiento contractual;Servicio;internet;INDETERMINADO;2019-01-09 00:00;2023-11-27;2023-11-23;2023-11-23;SI;2023-11-23 10:05;2
1193017;2023-10-27;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;HOMEGRES;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Bien;PORCELANATO Y PEGANTE PARA PISO;3292496;2023-10-04 00:00;2023-11-01;2023-11-02;2023-11-02;SI;2023-11-02 08:59;6
1230848;2023-11-20;CR BUCARAMANGA;Casas del Consumidor Regional;SANTANDER;SANTANDER;BUCARAMANGA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Posgrado;SI;FORMAL;NIT;#¡REF!;CENTRO DE IDIOMAS ULA ;ACORDADO;Información o publicidad engañosa;Servicio;CONTRATO DE ADHESIÓN DE PRESTACIÓN DE SERVICIOS EDUCATIVOS;79650000;2023-01-13 00:00;2023-11-29;2023-11-30;2023-11-30;SI;2023-11-30 14:05;10
1303196;2024-02-12;CB FONTIBON;Casas del Consumidor Bogota;BOGOTA;BOGOTA;FONTIBON;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Hombre;Profesional;SI;INFORMAL;;#¡REF!;ORTOPEDICOS Y HOSPITALARIOS MULTISALUD;ACORDADO;Información o publicidad engañosa;Bien;LANCETAS PARA GLUCOMETRIA;50000;2024-02-11 00:00;2024-02-15;2024-02-15;2024-02-15;SI;2024-02-15 11:05;3
1223511;2023-11-15;CB SAN CRISTOBAL;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SAN CRISTOBAL;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Técnico;SI;FORMAL;NIT;#¡REF!;AMOBLADORA LA CASITA DE MADERA;ACORDADO;Incumplimiento contractual;Bien;MUEBLE EN MADERA ;2300000;2023-07-07 00:00;2023-11-28;2023-12-05;2023-12-05;SI;2023-12-05 14:58;20
1108927;2023-08-28;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Turismo;Paquetes de Turismo ;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;#¡REF!;NOVA TOURS;ACORDADO;Incumplimiento contractual;Servicio;PAQUETE TURISTICO ;2810000;2023-02-28 00:00;2023-08-28;2023-08-30;2023-08-30;SI;2023-08-30 11:41;2
1188179;2023-10-25;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Cláusulas abusivas;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;INFORMAL;;#¡REF!;american language college sas;ACORDADO;Incumplimiento contractual;Servicio;CURSO DE INGLES;3890000;2023-06-20 00:00;2023-10-27;2023-11-19;2023-11-19;SI;2023-11-19 11:33;25
1124286;2023-09-14;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;CASA ELECTRICA;ACORDADO;Incumplimiento de la garantía;Bien;ESTUFA A GASOLINA;165000;2023-06-17 00:00;2023-09-20;2023-09-20;2023-09-20;SI;2023-09-20 12:37;6
1107036;2023-08-24;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;26-40 años;Ninguna ;No indica;Mujer;Profesional;SI;INFORMAL;;#¡REF!;OFIMUEBLES;ACORDADO;Incumplimiento contractual;Bien;CONJUNTO DE MUEBLES DE ALCOBA;4000000;2023-05-25 00:00;2023-09-22;2023-09-25;2023-09-25;SI;2023-09-25 09:53;32
1147840;2023-10-04;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Posgrado;SI;INFORMAL;;#¡REF!;arquitecto andres santacruz de la rosa;ACORDADO;Incumplimiento contractual;Bien;APARTAMENTO 302 TERRAZA JARDIN;198000000;2022-02-15 00:00;2023-10-26;2023-10-30;2023-10-30;SI;2023-10-30 12:48;26
1109729;2023-08-29;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;#¡REF!;CONSTRUCERAMICAS COLOMBIA SAS;ACORDADO;Incumplimiento de la garantía;Bien;COCINA INTEGRAL;3928472;2022-11-26 00:00;2023-09-18;2023-09-18;2023-09-18;SI;2023-09-18 12:25;20
1116838;2023-09-06;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Básica Primaria;SI;INFORMAL;;#¡REF!;clinica odontologica dental expert;ACORDADO;Incumplimiento contractual;Servicio;TRATAMIENTO DE ORTODONCIA;710000;2023-08-17 00:00;2023-09-15;2023-09-15;2023-09-15;SI;2023-09-15 12:07;9
1131697;2023-09-21;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Adquisición de Bienes o Prestación de Servicios;No prestación del servicio;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;lavaseco sur moderno;ACORDADO;Incumplimiento contractual;Bien;ALFOMBRA;850000;2021-09-04 00:00;2023-10-03;2023-10-03;2023-10-03;SI;2023-10-03 12:16;12
1155366;2023-10-09;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Abandono de bienes;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;LUIS IVAN NARVAEZ RODRIGUEZ;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Bien;ESCALERA;100000;2023-10-09 00:00;2023-10-09;2023-10-09;2023-10-09;SI;2023-10-09 15:31;0
1273616;2023-12-13;PUNTO DE ATENCION 2;Rutas del Consumidor;BOGOTA;BOYACA;TUNJA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Posgrado;SI;FORMAL;NIT;#¡REF!;PROMOTORA NOGALES DE LA FLORIDA SAS;ACORDADO;Incumplimiento contractual;Bien;VIVIENDA;24380000;2021-11-11 00:00;2023-12-15;2023-12-15;2023-12-15;SI;2023-12-15 13:17;2
1159369;2023-10-10;CR NEIVA;Casas del Consumidor Regional;HUILA;HUILA;NEIVA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Básica Primaria;SI;INFORMAL;;#¡REF!;PARQUEADERO Y TALLER DE ORNAMENTACION EL REY GUAJIRO;ACORDADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;VEHÍCULO RENAULT TWINGO DE PLACAS BTM 387 DE BOGOTÁ;INDETERMINADO;2023-08-22 00:00;2023-10-17;2023-10-17;2023-10-17;SI;2023-10-17 11:23;7
604972;2021-12-07;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;#¡REF!;CONSTRUCTORA CASTELLANA 101 S.A.;CERRADO;Incumplimiento contractual;Bien;sistemas de seguridad, anomalias y irregularidades;55000000;2019-11-02 00:00;2021-12-14;2021-12-14;2021-12-14;SI;2021-12-14 13:57;7
427645;2021-06-03;CR MONTERIA;Casas del Consumidor Regional;CORDOBA;CORDOBA;MONTERIA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;#¡REF!;NINO CARS MALL S.A.S.;CERRADO;Incumplimiento contractual;Bien;Vehiculo Renault Sandero ;3000000;2020-09-15 00:00;2021-06-11;2021-06-11;2021-06-11;SI;2021-06-11 11:46;8
